Survived,Age,SibSp,Parch,Fare,Sex_female,Sex_male,HasCabin_No,HasCabin_Yes,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,NameLen,Embarked_C,Embarked_Q,Embarked_S,FamilySize,FamilyClass_LargeFamily,FamilyClass_MediumFamily,FamilyClass_Single,FamilyClass_SmallFamily,FareReal,UseGT,UseGT_0,UseGT_1,Pclass_1,Pclass_2,Pclass_3,AgeLevel_Children,AgeLevel_Middle,AgeLevel_Old,AgeLevel_Teenager,AgeLevel_Youth,Mother_No,Mother_Yes,D_Female_Family,S_Male_Family
1,0.31284510029239715,0,0,-0.40048924196513447,0,1,0,1,0,0,1,0,0,0,-0.6128802061046921,0,0,1,-0.5609748304808925,0,0,1,0,-0.2479148104590215,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
1,-1.0731352693451002,0,0,-0.5005603421359208,1,0,1,0,0,1,0,0,0,0,-0.15312330133577545,0,1,0,-0.5609748304808925,0,0,1,0,-0.47681214549404016,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1,-0.12483291117207568,0,0,0.05247602596813435,0,1,0,1,0,0,1,0,0,0,0.3066336034331411,0,0,1,-0.5609748304808925,0,0,1,0,0.7881739555923022,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,-1.5837596160536518,3,1,-0.23792504025130579,1,0,1,0,0,1,0,0,0,0,0.07675515104868284,0,0,1,1.9195639980971482,0,1,0,0,-0.6039264225716569,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0
1,0.6046304412687123,1,5,-0.03031595911522424,1,0,1,0,0,0,0,1,0,0,3.4099927106233285,0,0,1,3.1598334123861687,1,0,0,0,-0.485207918128276,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
0,0.49677667938408276,0,0,-0.5167503274013401,0,1,1,0,0,0,1,0,0,0,-0.03818407514354631,1,0,0,-0.5609748304808925,0,0,1,0,-0.5138442604121946,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.7813499283687849,3,2,4.6324581795156305,0,1,0,1,0,0,1,0,0,0,0.4215728296253703,0,0,1,2.5396987052416584,0,1,0,0,2.181137741061304,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
1,-0.6053061059797417,0,0,-0.5035801105888092,1,0,1,0,0,1,0,0,0,0,0.07675515104868284,0,1,0,-0.5609748304808925,0,0,1,0,-0.4837194039343823,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.14505017745597304,0,0,-0.5032459228800229,0,1,1,0,0,0,1,0,0,0,-0.9576978846813795,0,0,1,-0.5609748304808925,0,0,1,0,-0.4829550006669844,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0.7505231117568699,0,0,-0.10413319235659829,0,1,1,0,0,0,0,0,0,1,-0.6128802061046921,1,0,0,-0.5609748304808925,0,0,1,0,0.42995432319823745,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0.3908976790035615,1,0,2.287523422331061,1,0,0,1,0,0,0,1,0,0,2.145661222508808,1,0,0,0.059159876663617626,0,0,0,1,2.526979566330276,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
1,-0.41889782512476836,0,0,-0.5061811378162305,1,0,1,0,0,1,0,0,0,0,-0.26806252752800463,0,1,0,-0.5609748304808925,0,0,1,0,-0.489668855870997,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,2.647127828102919,0,0,-0.4508187161799421,0,1,1,0,0,0,1,0,0,0,-0.6128802061046921,0,0,1,-0.5609748304808925,0,0,1,0,-0.3630357844647241,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,-0.12483291117207568,1,0,0.9920427560419122,0,1,1,0,0,0,1,0,0,0,-0.15312330133577545,1,0,0,0.059159876663617626,0,0,0,1,1.0453726308768827,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
0,0.8964157822450276,1,0,0.3846505557858648,0,1,1,0,0,0,1,0,0,0,0.19169437724091198,0,0,1,0.059159876663617626,0,0,0,1,0.3507142543706322,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
1,-0.7700432464059526,0,0,-0.5166657738846593,0,1,1,0,0,0,1,0,0,0,-0.9576978846813795,1,0,0,-0.5609748304808925,0,0,1,0,-0.513650857175865,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.6354572578806273,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,0.07675515104868284,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.8542962636128637,2,0,-0.29983029353551915,1,0,1,0,0,1,0,0,0,0,-0.03818407514354631,0,0,1,0.6792945838081278,0,0,0,1,-0.4321083688681457,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0
1,-1.1460816045891788,1,0,-0.43588696776989294,1,0,1,0,0,1,0,0,0,0,-0.8427586584891503,1,0,0,0.059159876663617626,0,0,0,1,-0.5877127845926937,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
0,0.7505231117568699,1,0,-0.47145380060801323,1,0,1,0,0,0,0,1,0,0,2.375539674893266,0,0,1,0.059159876663617626,0,0,0,1,-0.4102353838070622,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
0,-0.1977792464161545,1,0,-0.23943492447775,1,0,1,0,0,0,0,1,0,0,3.4099927106233285,0,0,1,0.059159876663617626,0,0,0,1,-0.3630357844647241,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
0,-0.1479082685542859,0,0,-0.5032459228800229,0,1,1,0,0,0,1,0,0,0,-0.7278194322969213,1,0,0,-0.5609748304808925,0,0,1,0,-0.4829550006669844,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-1.9484912922740458,1,2,0.17486120182679782,1,0,1,0,0,1,0,0,0,0,1.3410866391632035,1,0,0,1.299429290952638,0,0,0,1,-0.2083254749716204,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
1,-0.7813499283687849,0,0,-0.5035801105888092,1,0,1,0,0,1,0,0,0,0,0.07675515104868284,0,1,0,-0.5609748304808925,0,0,1,0,-0.4837194039343823,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1.0260144993024158,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,-0.15312330133577545,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,-0.1747099678952148,1,0,-0.3501597677503268,0,1,1,0,0,0,1,0,0,0,-0.9576978846813795,0,1,0,0.059159876663617626,0,0,0,1,-0.13279383645331885,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-0.31090251261341534,0,0,-0.5061811378162305,1,0,1,0,0,1,0,0,0,0,-0.7278194322969213,0,1,0,-0.5609748304808925,0,0,1,0,-0.489668855870997,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.32601890377524523,2,0,-0.22576141292307103,0,1,1,0,0,0,1,0,0,0,-0.7278194322969213,1,0,0,0.6792945838081278,0,0,0,1,0.1517483725770963,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.8542962636128637,1,0,-0.30385665147270374,1,0,1,0,0,0,0,1,0,0,1.2261474129709744,0,0,1,0.059159876663617626,0,0,0,1,-0.4367132078283738,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0
0,-1.6567059512977305,4,1,0.13677789527793716,0,1,1,0,1,0,0,0,0,0,-0.38300175372023376,0,0,1,2.5396987052416584,0,1,0,0,-0.541952964898587,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0
0,-0.6354572578806273,0,0,-0.5051745483319343,0,1,1,0,0,0,1,0,0,0,-0.03818407514354631,0,0,1,-0.5609748304808925,0,0,1,0,-0.48736643639088295,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,1.4070401289535792,1,0,0.8824936092869934,1,0,0,1,0,0,0,1,0,0,1.5709650915476618,1,0,0,0.059159876663617626,0,0,0,1,0.3312081565351061,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1,-0.05188657592799688,1,0,-0.1387759760481347,1,0,1,0,0,0,0,1,0,0,2.260600448701037,0,0,1,0.059159876663617626,0,0,0,1,0.3507142543706322,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,2.5741814928588402,0,1,0.5855497114196282,0,1,0,1,0,0,1,0,0,0,0.6514512820098286,1,0,0,0.059159876663617626,0,0,0,1,2.0074984735490227,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1,1.004376358406264,0,0,0.05247602596813435,0,1,0,1,0,0,1,0,0,0,-1.0726371108736086,0,0,1,-0.5609748304808925,0,0,1,0,0.7881739555923022,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1,-0.6354572578806273,0,0,-0.4508187161799421,1,0,1,0,0,1,0,0,0,0,-0.9576978846813795,0,0,1,-0.5609748304808925,0,0,1,0,-0.3630357844647241,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,-0.08835974355003628,0,0,-0.5166657738846593,0,1,1,0,0,0,1,0,0,0,-0.6128802061046921,1,0,0,-0.5609748304808925,0,0,1,0,-0.513650857175865,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-1.8025986217858883,1,2,-0.10354534409776935,1,0,1,0,0,1,0,0,0,0,0.3066336034331411,0,0,1,1.299429290952638,0,0,0,1,-0.42059627146757544,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
0,-1.3649206103214153,5,2,0.2819784283876572,0,1,1,0,1,0,0,0,0,0,0.4215728296253703,0,0,1,3.779968119530679,1,0,0,0,-0.48659896323084495,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0
0,-0.5625109226365484,0,0,-0.5166657738846593,0,1,1,0,0,0,1,0,0,0,-0.9576978846813795,1,0,0,-0.5609748304808925,0,0,1,0,-0.513650857175865,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0.6046304412687123,0,0,0.9483406669917105,1,0,0,1,0,1,0,0,0,0,-0.8427586584891503,1,0,0,-0.5609748304808925,0,0,1,0,0.995391708802567,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
0,1.115254787977264,1,0,1.018298636150293,0,1,0,1,0,0,1,0,0,0,0.19169437724091198,0,0,1,0.059159876663617626,0,0,0,1,1.0754007857365302,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0,-1.875544957029967,3,2,-0.10052557564488092,0,1,1,0,1,0,0,0,0,0,-0.8427586584891503,0,0,1,2.5396987052416584,0,1,0,0,-0.6324188636380683,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0
0,0.8851091002821952,0,0,-0.10413319235659829,0,1,1,0,0,0,1,0,0,0,-0.6128802061046921,1,0,0,-0.5609748304808925,0,0,1,0,0.42995432319823745,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1,-1.0713432210426037,1,1,-0.35527726868848847,0,1,1,0,1,0,0,0,0,0,-0.8427586584891503,1,0,0,0.6792945838081278,0,0,0,1,-0.49552160618944696,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
1,-0.05188657592799688,0,0,-0.4508187161799421,1,0,0,1,0,0,0,1,0,0,0.5365120558175994,0,0,1,-0.5609748304808925,0,0,1,0,-0.3630357844647241,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,-0.7813499283687849,0,0,-0.4979613280874681,0,1,1,0,0,0,1,0,0,0,-0.15312330133577545,0,0,1,-0.5609748304808925,0,0,1,0,-0.47086729839638564,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-0.9272425988569425,4,2,-0.5026580746211939,1,0,1,0,0,1,0,0,0,0,0.07675515104868284,0,0,1,3.1598334123861687,1,0,0,0,-0.48161038769059783,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
0,-0.2707255816602333,2,0,-0.4878108797278257,0,1,1,0,0,0,1,0,0,0,-0.7278194322969213,0,0,1,0.6792945838081278,0,0,0,1,-0.4476497003589156,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0.16695242980423952,0,0,-0.4508187161799421,0,1,1,0,0,0,1,0,0,0,0.07675515104868284,0,0,1,-0.5609748304808925,0,0,1,0,-0.3630357844647241,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,-1.0001889341010213,5,2,0.2819784283876572,1,0,1,0,0,1,0,0,0,0,-0.26806252752800463,0,0,1,3.779968119530679,1,0,0,0,-0.48659896323084495,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0
0,-0.6354572578806273,0,0,0.8174840340332106,0,1,1,0,0,0,1,0,0,0,-0.38300175372023376,0,0,1,-0.5609748304808925,0,0,1,0,-0.16963254813514372,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
0,-0.2707255816602333,1,0,-0.37121359340386517,0,1,1,0,0,0,1,0,0,0,-0.4979409799124629,1,0,0,0.059159876663617626,0,0,0,1,-0.18095124229938436,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0.16695242980423952,0,0,0.47515905585583773,0,1,1,0,0,0,1,0,0,0,-1.1875763370658379,0,0,1,-0.5609748304808925,0,0,1,0,-0.4748952168183109,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.3436719169043121,0,0,-0.5081943167848229,0,1,0,1,0,0,1,0,0,0,-0.03818407514354631,0,0,1,-0.5609748304808925,0,0,1,0,-0.49427369483122513,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.2307330428322516,0,0,-0.5032459228800229,0,1,1,0,0,0,1,0,0,0,-1.0726371108736086,0,0,1,-0.5609748304808925,0,0,1,0,-0.4829550006669844,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1.0260144993024158,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,-0.15312330133577545,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,-2.106784839753697,0,2,-0.07838060699036553,0,1,1,0,1,0,0,0,0,0,-0.26806252752800463,0,0,1,0.6792945838081278,0,0,0,1,-0.1788422260555999,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
1,0.021059759316081925,0,0,-0.411058431550244,1,0,1,0,0,1,0,0,0,0,-0.4979409799124629,0,0,1,-0.5609748304808925,0,0,1,0,-0.5593170451444471,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.5625109226365484,0,0,-0.4810164007088267,0,1,1,0,0,0,1,0,0,0,-0.7278194322969213,0,0,1,-0.5609748304808925,0,0,1,0,-0.4321083688681457,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-0.05188657592799688,0,0,-0.4709505058658652,0,1,1,0,0,0,1,0,0,0,-0.26806252752800463,0,0,1,-0.5609748304808925,0,0,1,0,-0.4090841740670052,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-0.6267036976513378,0,0,-0.5054261957030084,1,0,1,0,0,1,0,0,0,0,-0.03818407514354631,0,1,0,-0.5609748304808925,0,0,1,0,-0.4879420412609115,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.12483291117207568,0,0,0.28600478632484183,0,1,1,0,0,0,1,0,0,0,-0.26806252752800463,0,0,1,-0.5609748304808925,0,0,1,0,1.3223352749787625,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1,-0.9272425988569425,0,0,-0.4508187161799421,1,0,1,0,0,1,0,0,0,0,-0.8427586584891503,0,0,1,-0.5609748304808925,0,0,1,0,-0.3630357844647241,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1,0.23989876504831834,3,0,-0.34311364136025374,1,0,1,0,0,0,0,1,0,0,2.950235805854412,0,0,1,1.299429290952638,0,0,0,1,-0.48161038769059783,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,-1.0001889341010213,1,3,0.02982776257147091,0,1,1,0,0,0,1,0,0,0,-0.15312330133577545,0,0,1,1.9195639980971482,0,1,0,0,-0.45081552714407236,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
0,-0.14212987671245159,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,0.07675515104868284,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-0.4895645873924697,3,2,4.6324581795156305,1,0,0,1,0,1,0,0,0,0,-0.26806252752800463,0,0,1,2.5396987052416584,0,1,0,0,2.181137741061304,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
0,-0.4166182521483909,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,-0.4979409799124629,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.05188657592799688,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,-1.0726371108736086,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.7084035931247061,0,0,-0.5040834053309574,0,1,1,0,0,0,1,0,0,0,-0.38300175372023376,0,0,1,-0.5609748304808925,0,0,1,0,-0.4848706136744394,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1.1882011232213427,1,0,0.5693597261542088,0,1,0,1,0,0,1,0,0,0,0.07675515104868284,0,0,1,0.059159876663617626,0,0,0,1,1.9704663586308682,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,-0.2707255816602333,1,2,-0.2479909350942673,0,1,1,0,0,0,1,0,0,0,-0.03818407514354631,0,0,1,1.299429290952638,0,0,0,1,-0.37282106725520886,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,2.1365034813943673,0,0,-0.516247032659192,0,1,1,0,0,0,1,0,0,0,-0.8427586584891503,0,0,1,-0.5609748304808925,0,0,1,0,-0.5126930506721376,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,-0.14212987671245159,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,0.07675515104868284,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,3.0118595043233127,0,0,0.03544855825178069,0,1,0,1,0,0,1,0,0,0,-0.6128802061046921,1,0,0,-0.5609748304808925,0,0,1,0,0.749226227666693,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1,-0.4895645873924697,0,1,0.6133134625754847,0,1,0,1,0,0,1,0,0,0,0.19169437724091198,1,0,0,0.059159876663617626,0,0,0,1,2.0710038076495283,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
1,0.31284510029239715,0,1,-0.19917134510590387,1,0,1,0,0,0,0,1,0,0,1.111208186778745,0,0,1,0.059159876663617626,0,0,0,1,-0.3169873948624431,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0,0.31284510029239715,1,0,-0.1387759760481347,0,1,1,0,0,0,1,0,0,0,-0.9576978846813795,0,0,1,0.059159876663617626,0,0,0,1,-0.2479148104590215,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
0,-0.12483291117207568,0,0,-0.5032459228800229,1,0,1,0,0,1,0,0,0,0,-0.7278194322969213,0,0,1,-0.5609748304808925,0,0,1,0,-0.4829550006669844,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.6219378704153912,0,0,-0.5032459228800229,0,1,1,0,0,0,1,0,0,0,0.6514512820098286,0,0,1,-0.5609748304808925,0,0,1,0,-0.4829550006669844,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.6354572578806273,0,1,0.893733187468644,0,1,0,1,0,0,1,0,0,0,0.07675515104868284,0,0,1,0.059159876663617626,0,0,0,1,0.9329385804044732,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
0,0.23989876504831834,0,0,-0.4879779735822189,0,1,1,0,0,0,1,0,0,0,-0.26806252752800463,0,0,1,-0.5609748304808925,0,0,1,0,-0.4480319019926145,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0.5316841060246336,2,0,-0.5026580746211939,0,1,1,0,0,0,1,0,0,0,0.07675515104868284,0,0,1,0.6792945838081278,0,0,0,1,-0.48161038769059783,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.12483291117207568,0,0,-0.5032459228800229,0,1,1,0,0,0,1,0,0,0,-0.6128802061046921,0,0,1,-0.5609748304808925,0,0,1,0,-0.4829550006669844,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-0.6354572578806273,0,0,-0.5081943167848229,1,0,1,0,0,1,0,0,0,0,-0.03818407514354631,0,0,1,-0.5609748304808925,0,0,1,0,-0.49427369483122513,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-0.4145470972727107,0,0,-0.5056778430740825,0,1,1,0,0,0,1,0,0,0,-0.15312330133577545,0,0,1,-0.5609748304808925,0,0,1,0,-0.48851764613093995,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0.6046304412687123,0,0,-0.5032459228800229,0,1,1,0,0,0,1,0,0,0,-1.0726371108736086,0,0,1,-0.5609748304808925,0,0,1,0,-0.4829550006669844,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,-0.4701122313273821,1,0,-0.1760197869670924,1,0,1,0,0,1,0,0,0,0,-0.8427586584891503,0,1,0,0.059159876663617626,0,0,0,1,-0.47585433899031276,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,1.2611474584654216,0,0,0.3846505557858648,0,1,0,1,0,0,1,0,0,0,0.5365120558175994,0,0,1,-0.5609748304808925,0,0,1,0,0.3507142543706322,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0,-1.1096084369671395,1,0,-0.37121359340386517,1,0,1,0,0,1,0,0,0,0,-0.8427586584891503,1,0,0,0.059159876663617626,0,0,0,1,-0.5137475587940298,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
0,-0.5625109226365484,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,-0.38300175372023376,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
